"id","created_at","meet_place","message","requester_nickname","profile_id","status","updated_at","requester_profile_id","meetup_at","meetup_place","meetup_proposer_nickname","meetup_proposer_profile_id","connection_status","admin_note","status_reason"
"1","2026-05-14T21:07:24.668378","중앙무대 앞","나랑 만날래요?","냥냥이","1","CANCELED","2026-05-19T04:31:19.331671","","","","","","","","PROFILE_DELETED"
"2","2026-05-15T00:57:40.102247","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","익명","2","CANCELED","2026-05-19T04:31:19.331671","","","","","","","","PROFILE_DELETED"
"3","2026-05-16T16:10:37.352406","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","낭낭이","6","CANCELED","2026-05-19T04:31:19.331671","","","","","","","","PROFILE_DELETED"
"4","2026-05-16T16:11:00.434904","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","낭낭이","6","CANCELED","2026-05-19T04:31:19.331671","","","","","","","","PROFILE_DELETED"
"5","2026-05-16T16:11:15.969892","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","낭낭이","6","CANCELED","2026-05-19T04:31:19.331671","","","","","","","","PROFILE_DELETED"
"6","2026-05-16T17:55:08.076835","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","낭낭이","6","ACCEPTED","2026-05-18T01:22:04.159170","7","","","","","COMPLETED","항상 힘들 내봅시다.",""
"7","2026-05-18T01:33:31.954232","중앙무대 앞","축제에서 잠깐 만나고 싶어요.","준맨","11","ACCEPTED","2026-05-18T01:44:57.401833","12","","","","","COMPLETED","",""
"8","2026-05-18T16:27:24.737360","총학생회 부스","ㅎㅎ","낭낭이","1","CANCELED","2026-05-18T16:28:50.611903","7","","","","","","",""
"9","2026-05-18T16:29:01.515523","총학생회 부스","축제에서 잠깐 만나고 싶어요.","낭낭이","12","REJECTED","2026-05-18T16:50:05.235286","7","","","","","","",""
"10","2026-05-19T01:05:45.366867","총학생회 부스","축제에서 잠깐 만나고 싶어요.","예에에은","12","CANCELED","2026-05-19T01:05:58.143876","13","","","","","","","PROFILE_DELETED"
"14","2026-05-19T23:30:42.152876","총학생회 부스","축제에서 잠깐 만나고 싶어요.","정재훈","14","ACCEPTED","2026-05-21T13:14:34.508858","16","","","","","WAITING","",""
