"id","action","admin_username","created_at","details","target_id","target_type"
"1","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:42.187552","event start notice","2","NOTICE"
"2","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:43.639730","event start notice","3","NOTICE"
"3","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:44.993857","event start notice","4","NOTICE"
"4","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:45.867051","event start notice","5","NOTICE"
"5","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:46.789135","event start notice","6","NOTICE"
"6","OPS_MASTER_ACTION","ops-master","2026-04-06T14:41:47.999735","event start notice","7","NOTICE"
"7","OPS_MASTER_ACTION","ops-master","2026-04-06T19:25:54.916162","event start notice","8","NOTICE"
"8","OPS_MASTER_ACTION","ops-master","2026-04-06T19:26:02.120035","event start notice","9","NOTICE"
"9","OPS_MASTER_ACTION","ops-master","2026-04-06T19:26:03.214740","event start notice","10","NOTICE"
"10","OPS_MASTER_UPDATE","ops-master","2026-04-06T19:29:47.470494","공연 시작 안내","10","NOTICE"
"11","OPS_MASTER_ACTION","ops-master","2026-04-06T19:29:49.505337","event start notice","11","NOTICE"
"12","OPS_MASTER_ACTION","ops-master","2026-04-06T19:29:52.433243","congestion relief notice","12","NOTICE"
"13","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:21.070020","delete notice","9","NOTICE"
"14","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:22.996263","delete notice","12","NOTICE"
"15","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:24.855012","delete notice","11","NOTICE"
"16","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:25.715921","delete notice","10","NOTICE"
"17","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:26.254941","delete notice","8","NOTICE"
"18","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:26.695685","delete notice","7","NOTICE"
"19","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:27.786206","delete notice","6","NOTICE"
"20","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:28.400225","delete notice","5","NOTICE"
"21","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:29.000348","delete notice","4","NOTICE"
"22","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:29.620664","delete notice","3","NOTICE"
"23","OPS_MASTER_DELETE","ops-master","2026-04-06T19:30:30.729835","delete notice","2","NOTICE"
"24","OPS_BOOTH_LIVE_STATUS","ops-booth-1","2026-04-06T20:51:28.874095","update own booth live status","1","BOOTH"
"25","OPS_MASTER_ACTION","ops-master","2026-04-06T20:53:27.728712","event start notice","13","NOTICE"
"26","OPS_BOOTH_RESERVATION_CONFIG","ops-booth-1","2026-04-09T14:17:23.793481","update reservation config","1","BOOTH"
"27","OPS_BOOTH_LIVE_STATUS","ops-booth-1","2026-04-09T14:17:29.729868","update own booth live status","1","BOOTH"
"28","OPS_BOOTH_RESERVATION_CONFIG","ops-booth-1","2026-04-09T14:18:43.246605","update reservation config","1","BOOTH"
"29","OPS_BOOTH_LIVE_STATUS","ops-booth-1","2026-04-09T14:18:51.889533","update own booth live status","1","BOOTH"
"30","OPS_BOOTH_RESERVATION_CHECKIN","ops-booth-1","2026-04-09T14:19:28.454992","reservation 1","1","BOOTH"
"31","OPS_BOOTH_RESERVATION_CONFIG","ops-booth-1","2026-04-12T01:49:52.947579","update reservation config","1","BOOTH"
"32","OPS_BOOTH_RESERVATION_CONFIG","ops-master","2026-04-21T20:32:54.302651","update reservation config","1","BOOTH"
"33","OPS_BOOTH_RESERVATION_CONFIG","ops-master","2026-04-21T20:33:08.151198","update reservation config","1","BOOTH"
"34","OPS_BOOTH_RESERVATION_CONFIG","ops-master","2026-04-21T22:08:06.636278","update reservation config","1","BOOTH"
"35","OPS_BOOTH_RESERVATION_CONFIG","ops-master","2026-04-21T22:12:07.678419","update reservation config","1","BOOTH"
"36","OPS_BOOTH_LIVE_STATUS","ops-master","2026-04-22T01:41:31.949778","update own booth live status","1","BOOTH"
"37","OPS_BOOTH_LIVE_STATUS","ops-master","2026-04-22T01:41:34.570796","update own booth live status","1","BOOTH"
"38","OPS_BOOTH_LIVE_STATUS","ops-master","2026-04-22T01:52:02.000801","update own booth live status","1","BOOTH"
"39","OPS_BOOTH_LIVE_STATUS","ops-master","2026-04-22T01:53:09.498391","update own booth live status","1","BOOTH"
"40","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:49.851825","하이키","5","EVENT"
"41","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:50.696331","하이키","5","EVENT"
"42","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:51.401221","하이키","5","EVENT"
"43","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:51.941521","하이키","5","EVENT"
"44","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:52.716962","하이키","5","EVENT"
"45","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:53.170865","하이키","5","EVENT"
"46","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:53.619737","하이키","5","EVENT"
"47","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:38:54.010001","하이키","5","EVENT"
"48","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:44:47.185267","하이키","5","EVENT"
"49","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:44:48.276592","하이키","5","EVENT"
"50","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:44:49.065645","하이키","5","EVENT"
"51","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:44:49.686712","하이키","5","EVENT"
"52","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:34.963250","하이키","5","EVENT"
"53","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:35.769468","하이키","5","EVENT"
"54","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:36.451257","하이키","5","EVENT"
"55","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:37.120110","하이키","5","EVENT"
"56","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:37.586295","하이키","5","EVENT"
"57","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:37.896046","하이키","5","EVENT"
"58","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:38.195631","하이키","5","EVENT"
"59","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:38.465388","하이키","5","EVENT"
"60","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:39.465269","하이키","5","EVENT"
"61","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:40.200546","하이키","5","EVENT"
"62","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:41.293658","하이키","5","EVENT"
"63","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:48:55.355837","하이키","5","EVENT"
"64","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:04.830370","하이키","5","EVENT"
"65","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:05.487882","하이키","5","EVENT"
"66","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:05.990475","하이키","5","EVENT"
"67","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:06.469530","하이키","5","EVENT"
"68","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:06.800936","하이키","5","EVENT"
"69","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:07.099862","하이키","5","EVENT"
"70","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:07.371533","하이키","5","EVENT"
"71","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:07.631215","하이키","5","EVENT"
"72","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:07.857150","하이키","5","EVENT"
"73","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:08.068634","하이키","5","EVENT"
"74","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:08.398078","하이키","5","EVENT"
"75","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:08.690285","하이키","5","EVENT"
"76","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:14.767687","하이키","5","EVENT"
"77","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:15.333639","하이키","5","EVENT"
"78","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:16.084783","하이키","5","EVENT"
"79","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:16.633535","하이키","5","EVENT"
"80","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:16.969993","하이키","5","EVENT"
"81","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:17.258559","하이키","5","EVENT"
"82","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:17.733205","하이키","5","EVENT"
"83","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:18.029763","하이키","5","EVENT"
"84","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:19.087277","하이키","5","EVENT"
"85","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:23.008431","하이키","5","EVENT"
"86","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:23.819311","하이키","5","EVENT"
"87","OPS_MASTER_UPDATE","ops-master","2026-04-29T17:58:27.729493","하이키","5","EVENT"
"88","OPS_MASTER_ACTION","ops-master","2026-04-29T18:00:38.717036","event start notice","14","NOTICE"
"89","OPS_BOOTH_RESERVATION_CONFIG","ops-master","2026-04-30T12:52:35.684743","update reservation config","1","BOOTH"
"90","OPS_BOOTH_RESERVATION_COMPLETE","ops-booth-1","2026-05-07T12:23:10.807105","reservation 1","1","BOOTH"
"91","OPS_BOOTH_RESERVATION_CHECKIN","ops-booth-1","2026-05-07T12:23:30.616152","reservation 3","1","BOOTH"
"92","OPS_BOOTH_RESERVATION_COMPLETE","ops-booth-1","2026-05-07T12:23:35.307446","reservation 3","1","BOOTH"
"93","OPS_BOOTH_RESERVATION_CONFIG","ops-booth-1","2026-05-07T12:23:39.715108","update reservation config","1","BOOTH"
"94","OPS_BOOTH_RESERVATION_TABLE_RELEASE","ops-booth-1","2026-05-07T12:29:48.359358","table 1","1","BOOTH"
"95","OPS_BOOTH_RESERVATION_CHECKIN","ops-booth-1","2026-05-07T12:33:01.310313","reservation 5","1","BOOTH"
"96","OPS_BOOTH_RESERVATION_COMPLETE","ops-booth-1","2026-05-07T12:33:13.329841","reservation 5","1","BOOTH"
"97","OPS_BOOTH_RESERVATION_CONFIG","ops-booth-1","2026-05-07T12:33:21.423258","update reservation config","1","BOOTH"
"98","CREATE","0000","2026-05-13T22:36:05.664219","???","15","NOTICE"
"99","DELETE","0000","2026-05-13T22:36:05.708801","공지 삭제","15","NOTICE"
"100","CREATE","0000","2026-05-13T22:36:09.302869","testbooth","49","BOOTH"
"101","DELETE","0000","2026-05-13T22:36:09.359065","부스 삭제","49","BOOTH"
"102","CREATE","0000","2026-05-13T22:36:12.440748","?????","6","EVENT"
"103","DELETE","0000","2026-05-13T22:36:12.455899","공연 삭제","6","EVENT"
"104","CREATE","0000","2026-05-13T22:39:19.073015","??????","50","BOOTH"
"105","LIVE_STATUS","0000","2026-05-13T22:59:52.784454","대기/잔여/운영메모 갱신","1","BOOTH"
"106","QUICK_ACTION","0000","2026-05-13T22:59:53.049747","공연 시작 안내 발행","16","NOTICE"
"107","LIVE_STATUS","0000","2026-05-13T22:59:57.924610","대기/잔여/운영메모 갱신","1","BOOTH"
"108","UPDATE","0000","2026-05-13T23:00:58.432033","1","1","STAFF"
"109","QUICK_ACTION","0000","2026-05-13T23:18:00.997242","혼잡 완화 안내 자동 발행","17","NOTICE"
"110","LIVE_STATUS","0000","2026-05-13T23:18:01.013585","대기/잔여/운영메모 갱신","1","BOOTH"
"111","QUICK_ACTION","0000","2026-05-13T23:18:04.003139","공연 시작 안내 발행","18","NOTICE"
"112","QUICK_ACTION","0000","2026-05-13T23:18:04.017271","공연 시작 안내 발행","19","NOTICE"
"113","QUICK_ACTION","0000","2026-05-13T23:18:04.031851","공연 시작 안내 발행","20","NOTICE"
"114","CREATE","0000","2026-05-13T23:19:16.619627","테스트부스1778681956606","51","BOOTH"
"115","UPDATE","0000","2026-05-13T23:19:16.663019","테스트부스수정","51","BOOTH"
"116","LIVE_STATUS","0000","2026-05-13T23:19:16.712017","대기/잔여/운영메모 갱신","51","BOOTH"
"117","DELETE","0000","2026-05-13T23:19:16.763180","부스 삭제","51","BOOTH"
"118","CREATE","0000","2026-05-13T23:19:21.603135","테스트공연1778681961587","7","EVENT"
"119","CREATE","0000","2026-05-13T23:19:25.344777","테스트공연1778681965331","8","EVENT"
"120","CREATE","0000","2026-05-13T23:19:30.809820","테스트공연1778681970791","9","EVENT"
"121","UPDATE","0000","2026-05-13T23:19:30.825930","테스트공연수정","9","EVENT"
"122","DELETE","0000","2026-05-13T23:19:30.839931","공연 삭제","9","EVENT"
"123","LIVE_STATUS","0000","2026-05-13T23:32:10.852016","대기/잔여/운영메모 갱신","1","BOOTH"
"124","UPDATE","0000","2026-05-13T23:32:11.813745","1","1","STAFF"
"125","QUICK_ACTION","0000","2026-05-13T23:32:22.883398","공연 시작 안내 발행","21","NOTICE"
"126","LIVE_STATUS","0000","2026-05-13T23:32:23.852755","대기/잔여/운영메모 갱신","1","BOOTH"
"127","UPDATE","0000","2026-05-13T23:32:24.730617","1","1","STAFF"
"128","QUICK_ACTION","0000","2026-05-13T23:32:44.652801","혼잡 완화 안내 자동 발행","22","NOTICE"
"129","QUICK_ACTION","0000","2026-05-13T23:32:45.529331","공연 시작 안내 발행","23","NOTICE"
"130","LIVE_STATUS","0000","2026-05-13T23:32:46.464916","대기/잔여/운영메모 갱신","1","BOOTH"
"131","UPDATE","0000","2026-05-13T23:32:47.412814","1","1","STAFF"
"132","CREATE","0000","2026-05-13T23:32:52.506365","Playwright ???","24","NOTICE"
"133","DELETE","0000","2026-05-13T23:32:52.551882","공지 삭제","24","NOTICE"
"134","REORDER","0000","2026-05-13T23:33:17.900835","총 49개 정렬","","BOOTH"
"135","DELETE","0000","2026-05-14T11:50:45.227781","공지 삭제","14","NOTICE"
"136","DELETE","0000","2026-05-14T11:50:49.407932","공지 삭제","13","NOTICE"
"137","OPS_SIMULATION_SCENARIO","ops-master","2026-06-11T14:10:25.741863","lunch-peak","","SIMULATION"
"138","OPS_SIMULATION_START","ops-master","2026-06-11T14:10:26.480590","lunch-peak","","SIMULATION"
"139","OPS_SIMULATION_STOP","ops-master","2026-06-11T14:10:31.794025","lunch-peak","","SIMULATION"
"140","OPS_SIMULATION_RESET","ops-master","2026-06-11T14:10:33.555859","restore original booth live status","","SIMULATION"
"141","OPS_SIMULATION_SCENARIO","ops-master","2026-06-11T14:13:19.776849","calm","","SIMULATION"
"142","OPS_SIMULATION_START","ops-master","2026-06-11T14:13:21.273157","calm","","SIMULATION"
"143","OPS_SIMULATION_RESET","ops-master","2026-06-11T14:13:22.979093","restore original booth live status","","SIMULATION"
"144","OPS_SIMULATION_START","ops-master","2026-06-11T17:17:05.113904","manual","","SIMULATION"
"145","OPS_SIMULATION_STOP","ops-master","2026-06-11T17:21:18.174895","manual","","SIMULATION"
"146","OPS_SIMULATION_START","ops-master","2026-06-11T17:21:20.835159","manual","","SIMULATION"
"147","OPS_SIMULATION_STOP","ops-master","2026-06-11T17:21:23.451189","manual","","SIMULATION"
"148","OPS_SIMULATION_RESET","ops-master","2026-06-11T17:21:28.742093","restore original booth live status","","SIMULATION"
"149","OPS_SIMULATION_SCENARIO","ops-master","2026-06-11T17:45:53.012671","show-end","","SIMULATION"
"150","OPS_SIMULATION_START","ops-master","2026-06-11T17:45:54.175834","show-end","","SIMULATION"
"151","OPS_SIMULATION_START","ops-master","2026-06-11T17:49:47.455388","manual","","SIMULATION"
"152","OPS_SIMULATION_START","ops-master","2026-06-11T21:47:21.128054","manual","","SIMULATION"
"153","OPS_SIMULATION_START","ops-master","2026-06-11T21:47:24.340069","manual","","SIMULATION"
"154","OPS_SIMULATION_STOP","ops-master","2026-06-11T21:47:26.228390","manual","","SIMULATION"
"155","OPS_SIMULATION_START","ops-master","2026-06-11T21:47:47.821065","manual","","SIMULATION"
"156","OPS_BOOTH_RESERVATION_CHECKIN_TOKEN","ops-booth-1","2026-06-12T00:25:21.874164","token check-in","1","BOOTH"
"157","OPS_BOOTH_RESERVATION_COMPLETE","ops-booth-1","2026-06-12T00:25:21.892167","reservation 70","1","BOOTH"
"158","UPDATE","0000","2026-06-12T01:23:36.069442","하이키","5","EVENT"
"159","UPDATE","0000","2026-06-12T01:23:36.087435","득근득근 포징 공연","1","EVENT"
"160","UPDATE","0000","2026-06-12T01:23:36.102437","하이키","2","EVENT"
"161","UPDATE","0000","2026-06-12T01:23:36.119468","베이비몬스터","3","EVENT"
"162","UPDATE","0000","2026-06-12T01:23:36.132141","키키","4","EVENT"
"163","UPDATE","0000","2026-06-12T01:23:36.143167","테스트공연1778681961587","7","EVENT"
