"id","available_seats","display_order","table_name","total_seats","booth_id"
"1","7","1","입구 단체석","7","1"
"3","4","2","중앙 4인석","4","1"
"4","4","1","입구 4인석","4","2"
"5","4","2","중앙 4인석","4","2"
"6","2","3","안쪽 2인석","2","2"
"7","6","4","단체석","6","2"
"8","0","1","입구 4인석","4","15"
"9","1","2","중앙 4인석","4","15"
"10","2","3","안쪽 2인석","2","15"
"11","6","4","단체석","6","15"
"12","4","1","입구 4인석","4","16"
"13","4","2","중앙 4인석","4","16"
"14","2","3","안쪽 2인석","2","16"
"15","6","4","단체석","6","16"
"16","4","1","입구 4인석","4","37"
"17","4","2","중앙 4인석","4","37"
"18","0","3","안쪽 2인석","2","37"
"19","6","4","단체석","6","37"
"20","4","1","입구 4인석","4","38"
"21","4","2","중앙 4인석","4","38"
"22","2","3","안쪽 2인석","2","38"
"23","2","4","단체석","6","38"
"24","4","1","입구 4인석","4","50"
"25","4","2","중앙 4인석","4","50"
"26","2","3","안쪽 2인석","2","50"
"27","6","4","단체석","6","50"
"28","4","1","입구 4인석","4","53"
"29","1","2","중앙 4인석","4","53"
"30","2","3","안쪽 2인석","2","53"
"31","6","4","단체석","6","53"
"32","4","1","입구 4인석","4","57"
"33","1","2","중앙 4인석","4","57"
"34","2","3","안쪽 2인석","2","57"
"35","6","4","단체석","6","57"
"36","4","1","입구 4인석","4","58"
"37","1","2","중앙 4인석","4","58"
"38","2","3","안쪽 2인석","2","58"
"39","6","4","단체석","6","58"
"40","4","1","입구 4인석","4","61"
"41","4","2","중앙 4인석","4","61"
"42","2","3","안쪽 2인석","2","61"
"43","6","4","단체석","6","61"
"44","4","1","입구 4인석","4","64"
"45","4","2","중앙 4인석","4","64"
"46","2","3","안쪽 2인석","2","64"
"47","6","4","단체석","6","64"
"48","4","1","입구 4인석","4","66"
"49","4","2","중앙 4인석","4","66"
"50","2","3","안쪽 2인석","2","66"
"51","6","4","단체석","6","66"
"52","4","1","입구 4인석","4","67"
"53","1","2","중앙 4인석","4","67"
"54","2","3","안쪽 2인석","2","67"
"55","6","4","단체석","6","67"
"56","4","1","입구 4인석","4","69"
"57","4","2","중앙 4인석","4","69"
"58","0","3","안쪽 2인석","2","69"
"59","6","4","단체석","6","69"
