"id","description","latitude","longitude","name","display_order","image_url","estimated_wait_minutes","live_status_message","live_status_updated_at","remaining_stock","max_reservation_minutes","booth_intro","menu_image_url","menu_board_json","category","close_time","content_json","day_part","open_time","reservation_enabled","tags"
"1","디지털미디어학과에서 운영하는 테마 주점","37.2832","127.0451","디지털미디어학과 네온주점","1","https://picsum.photos/seed/festflow-ajou-pub-1/800/450","45","시뮬레이션: 현재 222명 · 매우 혼잡","2026-06-12T02:02:00.130511","","10","아주 맛있는 음식입니다! ","","[{""name"":""닭강정"",""price"":""1000"",""description"":""짱맛있다"",""soldOut"":false},{""name"":""치킨"",""price"":""10000"",""description"":""짱맛있다"",""soldOut"":false}]","주점","01:00:00","","야간","18:00:00","true","야간, 주류, 음악"
"2","산업공학과 학생회가 운영하는 주점","37.2824","127.0439","산업공학과 이음주점","2","https://picsum.photos/seed/festflow-ajou-pub-2/800/450","48","시뮬레이션: 현재 240명 · 매우 혼잡","2026-06-12T02:02:00.146023","60","","","","","주점","01:00:00","","야간","18:00:00","true","야식, 단체석"
"3","치즈 핫도그와 감자튀김을 판매하는 푸드 부스","37.2817","127.0447","푸드트럭 치즈랩","3","https://picsum.photos/seed/festflow-ajou-food-1/800/450","38","시뮬레이션: 현재 186명 · 매우 혼잡","2026-06-12T02:02:00.151019","90","","","","","음식","23:30:00","","상시","11:00:00","false","간식, 포장가능"
"4","따뜻한 타코야끼와 음료를 빠르게 제공하는 먹거리 부스","37.2829","127.0428","타코야끼 스테이션","4","https://picsum.photos/seed/festflow-ajou-food-2/800/450","50","시뮬레이션: 현재 246명 · 매우 혼잡","2026-06-12T02:02:00.155029","55","","","","","음식","00:30:00","","야간","17:00:00","false","야식, 인기"
"5","VR 리듬 게임을 체험하고 랭킹에 도전하는 부스","37.283","127.0441","VR 리듬 챌린지","5","https://picsum.photos/seed/festflow-ajou-vr/800/450","1","시뮬레이션: 현재 1명 · 여유","2026-06-12T02:02:00.159024","30","","","","","체험","20:00:00","","주간","12:00:00","false","체험, 랭킹전, 실내"
"6","현장 사진으로 AI 캐리커처 이미지를 만들어 주는 체험 부스","37.2822","127.0449","AI 캐리커처 랩","6","https://picsum.photos/seed/festflow-ajou-ai-art/800/450","1","시뮬레이션: 현재 1명 · 여유","2026-06-12T02:02:00.162038","40","","","","","체험","22:00:00","","상시","13:00:00","false","AI, 포토, 출력"
"7","축제 구역을 돌며 스탬프를 모으는 이벤트 접수처","37.2819","127.0436","스탬프 미션 센터","7","https://picsum.photos/seed/festflow-ajou-stamp/800/450","1","시뮬레이션: 현재 2명 · 여유","2026-06-12T02:02:00.168032","200","","","","","이벤트","19:00:00","","주간","10:00:00","false","미션, 경품"
"8","시간대별 추첨 이벤트와 현장 미션을 운영하는 부스","37.2827","127.0454","럭키드로우 박스","8","https://picsum.photos/seed/festflow-ajou-lucky/800/450","0","시뮬레이션: 현재 0명 · 여유","2026-06-12T02:02:00.174037","120","","","","","이벤트","23:00:00","","야간","16:00:00","false","추첨, 경품"
"9","티셔츠, 키링, 응원봉 등 축제 공식 굿즈 판매","37.2834","127.0443","공식 굿즈 숍","9","https://picsum.photos/seed/festflow-ajou-goods/800/450","1","시뮬레이션: 현재 5명 · 여유","2026-06-12T02:02:00.178205","45","","","","","굿즈","22:00:00","","상시","11:00:00","false","굿즈, 카드가능"
"10","학생 작가들의 액세서리와 소품을 만나는 플리마켓","37.2818","127.0452","핸드메이드 플리마켓","10","https://picsum.photos/seed/festflow-ajou-flea/800/450","1","시뮬레이션: 현재 1명 · 여유","2026-06-12T02:02:00.182205","70","","","","","플리마켓","18:00:00","","주간","12:00:00","false","수공예, 소품"
