"id","end_time","start_time","status","title","image_credit","image_url","image_focus","status_override","delay_minutes","live_message","status_updated_at"
"1","2026-06-12T02:33","2026-06-12T01:48","진행중","득근득근 포징 공연","Wikimedia Commons / Bodybuilder.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bodybuilder.jpg?width=900","","","0","","2026-06-12T01:27:08.092330"
"2","2026-06-12T03:18","2026-06-12T02:18","예정","하이키","Wikimedia Commons / H1-Key_in_February_2026.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/H1-Key_in_February_2026.png?width=900","","","0","","2026-06-12T01:27:08.101329"
"3","2026-06-12T03:53","2026-06-12T02:53","예정","베이비몬스터","Wikimedia Commons / BABYMONSTER_in_Seattle.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/BABYMONSTER_in_Seattle.jpg?width=900","","","0","","2026-06-12T01:27:08.110333"
"4","2026-06-12T04:23","2026-06-12T03:23","예정","키키","Wikimedia Commons / Kiiikiii_250604.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Kiiikiii_250604.png?width=900","","","0","","2026-06-12T01:27:08.120331"
"5","2026-06-12T02:33","2026-06-12T01:33","진행중","하이키","Wikimedia Commons / H1-Key_in_February_2026.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/H1-Key_in_February_2026.png?width=900","","","0","","2026-06-12T01:27:08.080330"
"7","2026-06-12T04:53","2026-06-12T03:53","예정","테스트공연1778681961587","","","center 50%","","0","","2026-06-12T01:27:08.133622"
"8","2026-06-12T05:23","2026-06-12T04:23","예정","테스트공연1778681965331","","","center 50%","","0","","2026-06-12T01:27:08.147025"
"10","2026-06-12T05:38","2026-06-12T05:13","예정","오프닝 퍼레이드","","","center","","0","정문에서 잔디광장까지 이동형 공연이 진행됩니다.","2026-06-12T01:27:08.159474"
"11","2026-06-12T06:33","2026-06-12T05:53","예정","버스킹 릴레이","","","center","","0","동아리 4팀이 이어서 공연합니다.","2026-06-12T01:27:08.170500"
"12","2026-06-12T07:28","2026-06-12T06:53","예정","응원단 합동 무대","","","center","","0","무대 앞 혼잡이 예상되어 10분 전 입장을 권장합니다.","2026-06-12T01:27:08.181507"
"13","2026-06-12T08:13","2026-06-12T07:23","예정","인디밴드 쇼케이스","","","center","","0","메인 스테이지 야간 공연입니다.","2026-06-12T01:27:08.191500"
"14","2026-06-12T09:13","2026-06-12T08:23","예정","DJ 나이트","","","center","","0","공연 종료 후 푸드존 혼잡이 증가할 수 있습니다.","2026-06-12T01:27:08.203498"
"15","2026-06-12T09:43","2026-06-12T09:23","예정","폐막 불꽃 카운트다운","","","center","","0","잔디광장과 후문 방향 귀가 동선 분산이 필요합니다.","2026-06-12T01:27:08.214496"
"16","2026-06-12T10:53","2026-06-12T10:23","예정","재즈 버스킹","","","center","","0","잔디광장 옆 소규모 공연이라 혼잡도가 낮습니다.","2026-06-12T01:27:08.224499"
"17","2026-06-12T12:08","2026-06-12T11:23","예정","댄스 배틀 예선","","","center","","0","관객이 배틀존으로 몰릴 수 있어 주변 동선 관리가 필요합니다.","2026-06-12T01:27:08.235503"
"18","2026-06-12T13:03","2026-06-12T12:23","예정","동아리 랜덤 플레이댄스","","","center","","0","참여형 공연으로 스테이지 전면 체류 시간이 길어질 수 있습니다.","2026-06-12T01:27:08.246502"
"19","2026-06-12T13:53","2026-06-12T13:23","예정","심야 어쿠스틱","","","center","","0","DJ 이후 분산 관람을 유도하는 저혼잡 공연입니다.","2026-06-12T01:27:08.257519"
"20","2026-06-12T15:03","2026-06-12T14:23","예정","셔틀 막차 안내 방송","","","center","","0","후문 셔틀 안내소 주변 일시 혼잡이 예상됩니다.","2026-06-12T01:27:08.269028"
