feature,importance
gps_count_nearby,0.2191981353589212
wait_minutes,0.13439392313891702
reservation_count,0.10226121623343828
is_night_booth,0.05734367841958434
checked_in_count,0.04675512929782252
available_seats,0.040801033834670306
remaining_stock,0.03719569442476738
expected_stage_crowd,0.03618845618759518
stage_load_ratio,0.03493956994263163
zone_type_STAGE,0.03329929922105476
hour,0.032043548344691086
minutes_to_next_event,0.029025298079818445
gps_delta_15m,0.02270074961198194
gps_delta_5m,0.019326501987429388
wait_delta_15m,0.01897442388159336
scenario_day,0.01859632437511562
zone_type_EXPERIENCE,0.014966697672771362
reservation_delta_15m,0.014359368315129411
event_soon,0.014285569220479808
is_peak_time,0.013578685298409669
zone_type_SAFETY,0.01050477263491876
artist_popularity_score,0.010230075654774018
zone_type_PUB,0.0073836764515070865
checked_in_delta_15m,0.006172915613186982
zone_type_GOODS,0.005847716461911404
artist_popularity_LOW,0.00570919086696132
artist_popularity_HIGH,0.0051075960562795945
zone_type_FOOD,0.004796562804851601
artist_popularity_MEDIUM,0.004014190608786419
stage_capacity,0.0
event_count_context,0.0
