feature,importance
gps_count_nearby,0.11216039210557938
is_night_booth,0.10690207034349442
wait_minutes,0.07988598942756653
event_soon,0.07877768576145172
reservation_count,0.06116863340139389
zone_type_STAGE,0.05588386207818985
checked_in_count,0.043512094765901566
zone_type_EXPERIENCE,0.041852254420518875
zone_type_PUB,0.03845720365643501
is_peak_time,0.03039514645934105
artist_popularity_HIGH,0.026549311354756355
artist_popularity_LOW,0.024503210559487343
artist_popularity_score,0.0238010436296463
zone_type_SAFETY,0.023047063499689102
hour,0.02216547541320324
expected_stage_crowd,0.02129046432673931
stage_load_ratio,0.020306946709752083
artist_popularity_MEDIUM,0.019454333931207657
zone_type_GOODS,0.018896454945206642
zone_type_FOOD,0.018618762493133545
available_seats,0.016489921137690544
remaining_stock,0.015596996992826462
minutes_to_next_event,0.014852815307676792
gps_delta_15m,0.014602188020944595
reservation_delta_15m,0.014537718147039413
wait_delta_15m,0.014295998960733414
scenario_day,0.014159896411001682
checked_in_delta_15m,0.014131785370409489
gps_delta_5m,0.013704325072467327
stage_capacity,0.0
event_count_context,0.0
